objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,Shape__Area,Shape__Length,GlobalID_2
1,1,1.65951034,72288.27034,Neighborhood Park,NP,5,Able Long Parklet,Able Long Park,Able Long Park,Western,1079.63858184,fb46cd7e-fcf3-47de-86b2-b44a62ecb0da,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,7.12562382897715e-07,0.00337199137740355,85b25557-6565-41c7-868f-71985f3ea13c
2,2,0.38154396,16620.0547472,Neighborhood Park,NP,15,"Albert ""Turk"" Graham Parklet",Albert Turk Graham Park,"Albert ""Turk"" Graham Park",Schenley,542.40437763,98c0046f-47d7-455c-b39d-5183317e15d8,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,1.63905551335111e-07,0.00169811740646909,8f07a6a3-3951-4769-a27d-096d2967adf3
3,3,2.50623159,109171.447876,Community Park,CP,3,Allegheny Center Plaza Park,Buhl Community Park at Allegheny Square,Buhl Community Park at Allegheny Square,State,1999.77616622,8d8c8881-084a-4daf-b347-d9e9dc83f9b7,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.07682858027089e-06,0.00637702911609793,5e9b0422-8a0c-40bc-95bd-b5e1d4769c2f
4,4,2.21287894,96393.0064671,Riverfront Park,RVR,16,Allegheny Landing Park,Allegheny Landing Park,Allegheny Landing Park,State,1579.93365704,4c54672c-8a00-4670-a599-1b3e59c22d84,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,9.50711962018062e-07,0.00514937938400058,70426a67-bd13-484c-9937-6266765bc60d
5,5,1.1844759,51595.7703221,Riverfront Park,RVR,16,Allegheny Riverfront Park,Allegheny Riverfront Park,Allegheny Riverfront Park,State,3789.70684425,56eb2a1a-f465-4488-8ee7-2939c1a56513,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,5.08865169866295e-07,0.0132622489730534,e621f2bd-40f7-4a40-9b39-79eb1553d7a4
6,6,0.13026646,5674.40719346,Neighborhood Park,NP,3,Alpine #2 Parklet,Alpine Gardens Park,Alpine Gardens Park,Northern,302.56218263,d2665673-a177-4850-8941-8ce097a592ec,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,5.59747533863646e-08,0.000971700233854536,b3b123cf-f94e-490f-9d19-8fd9b4f6c94d
7,7,4.02706511,175418.956026,Neighborhood Park,NP,5,Alton Playground,Alton Park,Alton Park,Western,1680.93778101,5469398c-9490-4e55-b4d4-776bc4862a7e,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,1.72930759096403e-06,0.00531577677767437,6e76a654-cbb4-470a-ae5e-b5f0e508e752
8,8,0.10325238,4497.67358602,Beautification Site,BTF,12,Amber Triangle,Amber Triangle,Amber Triangle,Northeast,296.74385881,f2ac7993-bc0c-4271-9071-e469f8f652cc,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,4.43677327743061e-08,0.000965876895864236,73b23493-c382-4d34-bfad-939d7d50467f
9,9,8.08160084,352034.532733,Neighborhood Park,NP,15,Ammon Park,Ammon Park,Ammon Park,Schenley,2493.40740141,e8ad959c-58fa-4c30-baa0-4264c8d10705,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,3.47219510687785e-06,0.00788744652278156,62619d88-7aaa-4a99-b54f-247c3facc570
10,10,0.57381155,24995.2310125,Special Use Park,SU,7,Arlington Gym,Arlington Rec Center,Arlington Gym,Southern,686.62104685,36b01e71-29f8-43d4-be7a-23afbd6267cb,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,2.46424142733099e-07,0.00228906673024176,50ed99ee-291b-4b0c-8893-440f5e33b0a8
